user_id,signup_date,domain,org_size
208faa8b,2025-01-29,coleman.com,SMB
df6431c9,2025-01-12,gmail.com,SMB
541bcf25,2025-01-08,gmail.com,SMB
c339c05e,2025-01-17,harris.com,SMB
e8c4f5b5,2025-01-06,hotmail.com,SMB
563e981a,2025-01-09,hotmail.com,Mid-Market
93e3006f,2025-01-22,gmail.com,SMB
95fef1fa,2025-01-04,collins.info,Enterprise
e50ea958,2025-01-13,hotmail.com,SMB
ee26ec1b,2025-01-27,hotmail.com,Enterprise
05c21e90,2025-01-23,johnson.com,Mid-Market
9c272e06,2025-01-14,gmail.com,SMB
90940e99,2025-01-25,yahoo.com,SMB
2a4a59ae,2025-01-26,yahoo.com,SMB
96d475d3,2025-01-02,gmail.com,SMB
7065446e,2025-01-15,hotmail.com,SMB
0281f94d,2025-01-15,reeves.com,SMB
afdb4860,2025-01-13,gmail.com,SMB
bc1338e3,2025-01-16,hotmail.com,SMB
789cd5d1,2025-01-13,yahoo.com,Mid-Market
9c1a0b21,2025-01-13,gmail.com,SMB
9ced7deb,2025-01-25,hotmail.com,SMB
16b03824,2025-01-24,hotmail.com,Mid-Market
58535024,2025-01-21,gmail.com,Mid-Market
9c3c04c9,2025-01-04,hotmail.com,SMB
6d760d88,2025-01-02,gmail.com,Enterprise
97441de0,2025-01-17,yahoo.com,Mid-Market
ad3377d5,2025-01-21,greene.biz,Mid-Market
8e014dbe,2025-01-03,gmail.com,Mid-Market
cda67b81,2025-01-10,yahoo.com,Enterprise
5e6f87ae,2025-01-16,hotmail.com,SMB
5666d6dd,2025-01-25,fuller-marshall.net,SMB
12cfa219,2025-01-22,hotmail.com,SMB
030203ed,2025-01-30,yahoo.com,SMB
b4909100,2025-01-07,yahoo.com,Mid-Market
892a1eff,2025-01-19,hotmail.com,SMB
1f423013,2025-01-04,williams-arnold.com,SMB
b3969e04,2025-01-17,hotmail.com,SMB
82d58c9b,2025-01-08,gmail.com,SMB
bec227d3,2025-01-13,hotmail.com,Enterprise
979deca5,2025-01-28,yahoo.com,Enterprise
3f796f9f,2025-01-24,hotmail.com,SMB
18dd416f,2025-01-23,hotmail.com,Mid-Market
f0540575,2025-01-25,yahoo.com,SMB
4f7e1434,2025-01-06,gmail.com,SMB
9d1cab17,2025-01-09,hotmail.com,Mid-Market
5453d994,2025-01-21,yahoo.com,Mid-Market
ffa2bd4a,2025-01-12,yahoo.com,SMB
acd55ba8,2025-01-03,galloway.net,SMB
4d99a711,2025-01-22,yahoo.com,SMB
b16dc37e,2025-01-28,hotmail.com,Mid-Market
365b039f,2025-01-10,gmail.com,SMB
5c573f4d,2025-01-28,gmail.com,SMB
ff203d52,2025-01-27,yahoo.com,SMB
878de0d6,2025-01-20,yahoo.com,SMB
f3ee29d5,2025-01-19,yahoo.com,Enterprise
003c2e1c,2025-01-17,hotmail.com,Mid-Market
95071c42,2025-01-25,gmail.com,Mid-Market
9166d9b8,2025-01-26,fuller.com,SMB
384817d3,2025-01-30,gmail.com,Mid-Market
d1703b1c,2025-01-16,yahoo.com,Mid-Market
c415baaf,2025-01-03,hotmail.com,SMB
db87c178,2025-01-06,yahoo.com,SMB
0bde3935,2025-01-28,gmail.com,SMB
1b59b3ff,2025-01-03,yahoo.com,SMB
d343b924,2025-01-17,yahoo.com,Mid-Market
4ea99eec,2025-01-04,hotmail.com,SMB
c0a1f6db,2025-01-17,gmail.com,SMB
5cc52109,2025-01-01,yahoo.com,SMB
3c64b914,2025-01-10,gmail.com,SMB
2d2c06a9,2025-01-29,yahoo.com,SMB
0c52bde4,2025-01-14,yahoo.com,SMB
6bd84b88,2025-01-17,harper-cobb.com,SMB
79fee4fa,2025-01-25,yahoo.com,SMB
8e0e1bf0,2025-01-12,gmail.com,Enterprise
79bf4b76,2025-01-06,yahoo.com,SMB
1175359e,2025-01-07,gmail.com,SMB
204a78af,2025-01-14,hotmail.com,Mid-Market
90036a06,2025-01-28,gmail.com,SMB
9f45e305,2025-01-23,hotmail.com,SMB
17e88467,2025-01-23,yahoo.com,SMB
4dcc6246,2025-01-03,gmail.com,Mid-Market
5d99dd66,2025-01-14,hotmail.com,SMB
d93f33fb,2025-01-13,gmail.com,Mid-Market
036455aa,2025-01-22,hotmail.com,SMB
b457f8e5,2025-01-01,yahoo.com,SMB
35524ca6,2025-01-25,flores-wade.org,Mid-Market
570a4568,2025-01-06,moore.info,SMB
fc666829,2025-01-11,peters.biz,SMB
2d22e66d,2025-01-01,yahoo.com,SMB
adcb3e21,2025-01-16,evans-weber.com,SMB
33a7f0b4,2025-01-18,evans.com,Mid-Market
12a8b1c8,2025-01-15,hotmail.com,SMB
086e1c78,2025-01-03,hotmail.com,Mid-Market
619dd7db,2025-01-14,jenkins.com,SMB
8b758522,2025-01-08,raymond-hawkins.com,SMB
235c4450,2025-01-07,cook.com,SMB
301182c5,2025-01-22,hotmail.com,SMB
bb36349d,2025-01-23,hotmail.com,SMB
6b059677,2025-01-01,hotmail.com,SMB
1a581cb8,2025-01-03,gmail.com,Enterprise
78da899e,2025-01-29,yahoo.com,SMB
61fb70dd,2025-01-16,yahoo.com,SMB
15cf44dd,2025-01-01,yahoo.com,SMB
223058d1,2025-01-03,gmail.com,Enterprise
2e0adefc,2025-01-07,brown.com,Enterprise
424b60a9,2025-01-02,gmail.com,Mid-Market
e4733445,2025-01-29,hotmail.com,SMB
4eced2d6,2025-01-25,hotmail.com,SMB
9ab74a99,2025-01-22,hotmail.com,Mid-Market
ba15c253,2025-01-14,gmail.com,SMB
f981f64c,2025-01-27,hotmail.com,SMB
00b3db7e,2025-01-07,hotmail.com,SMB
4b98090c,2025-01-22,gmail.com,Mid-Market
37f1747c,2025-01-07,hotmail.com,SMB
072a1e07,2025-01-10,yahoo.com,SMB
ba955b26,2025-01-23,yahoo.com,SMB
82dccc0d,2025-01-12,hotmail.com,Mid-Market
f57e4ec8,2025-01-29,gmail.com,SMB
2d6e11b3,2025-01-18,yahoo.com,SMB
11786d2d,2025-01-14,hotmail.com,Mid-Market
4e1c363e,2025-01-17,yahoo.com,SMB
2712d325,2025-01-14,gmail.com,SMB
52915938,2025-01-21,gmail.com,Mid-Market
6dfaca99,2025-01-21,yahoo.com,Mid-Market
b9b95777,2025-01-21,hotmail.com,Mid-Market
5f326573,2025-01-21,hotmail.com,SMB
0fb55ee7,2025-01-12,yahoo.com,SMB
e3c879e6,2025-01-19,yahoo.com,SMB
e6b602dd,2025-01-01,yahoo.com,Mid-Market
2ed352a4,2025-01-16,hotmail.com,SMB
b22ef81f,2025-01-26,gmail.com,SMB
202cb966,2025-01-09,gmail.com,SMB
c1f41a1f,2025-01-01,jones.com,Mid-Market
0da7d1e4,2025-01-02,moon.com,Mid-Market
a2768da9,2025-01-01,long.com,SMB
a0416ae7,2025-01-12,torres.com,SMB
22307953,2025-01-09,gmail.com,Mid-Market
0801e231,2025-01-22,daniels.com,SMB
a1442b4d,2025-01-03,gmail.com,SMB
99e13577,2025-01-09,allen.com,SMB
c90d54d5,2025-01-04,hotmail.com,Mid-Market
4274ab4f,2025-01-08,burch.com,SMB
2f3ec234,2025-01-18,gamble.com,Mid-Market
199f6cab,2025-01-25,hotmail.com,SMB
4821ba8a,2025-01-17,price.net,Enterprise
ff963173,2025-01-19,yahoo.com,SMB
33ee7355,2025-01-10,gmail.com,SMB
5bcdc503,2025-01-11,gmail.com,Mid-Market
a62fa681,2025-01-15,gmail.com,SMB
dfe50617,2025-01-24,hotmail.com,SMB
45f7549b,2025-01-23,yahoo.com,Mid-Market
2dac852f,2025-01-23,yahoo.com,SMB
724c438d,2025-01-21,yahoo.com,SMB
f3bb64c5,2025-01-04,yahoo.com,SMB
2cb92276,2025-01-02,hotmail.com,SMB
253d2414,2025-01-01,hotmail.com,SMB
531f556d,2025-01-20,combs.com,SMB
d2a128b7,2025-01-22,crosby.com,Mid-Market
8c2f97ca,2025-01-01,hotmail.com,Mid-Market
c92789a6,2025-01-24,gmail.com,Mid-Market
433ffe38,2025-01-05,hotmail.com,SMB
a461068c,2025-01-25,hotmail.com,SMB
a174e96e,2025-01-22,hotmail.com,SMB
69e0b951,2025-01-18,gmail.com,SMB
0e09f5d5,2025-01-02,hotmail.com,SMB
900f5133,2025-01-11,yahoo.com,Mid-Market
06d034e2,2025-01-17,johnson.biz,SMB
4b773ac5,2025-01-19,hotmail.com,SMB
d7c811c0,2025-01-29,bailey-ho.com,SMB
71ec7354,2025-01-05,ho.com,SMB
f75be968,2025-01-29,hotmail.com,SMB
a4f117df,2025-01-16,yahoo.com,SMB
b369b22a,2025-01-29,yahoo.com,Enterprise
6d2b4e10,2025-01-24,gmail.com,SMB
5e08d303,2025-01-07,gmail.com,Enterprise
59c3f529,2025-01-19,yahoo.com,Mid-Market
