subscription_id,user_id,plan_level,mrr,status,upgrade_date
f0a4d75e,208faa8b,Free,0,Active,
87c302cb,df6431c9,Free,0,Active,
06d6d911,541bcf25,Free,0,Active,
7999c46f,c339c05e,Free,0,Active,
6c3520d3,e8c4f5b5,Free,0,Active,
f3c9f019,563e981a,Pro,706.36,Active,15/01/2025
b5ee7b3a,93e3006f,Pro,227.28,Active,27/01/2025
b0e69193,95fef1fa,Free,0,Active,
56474f26,e50ea958,Pro,142.49,Active,22/01/2025
7d26af99,ee26ec1b,Enterprise,771.28,Active,04/02/2025
9392facd,05c21e90,Free,0,Active,
c86b0187,9c272e06,Pro,172.48,Active,20/01/2025
f42e9472,9.09E+103,Free,0,Active,
54119bd2,2a4a59ae,Free,0,Active,
d0aa0e8f,96d475d3,Free,0,Active,
d4d0c2cb,7065446e,Pro,236.72,Active,17/01/2025
9.88E+100,0281f94d,Free,0,Active,
0fc9a323,afdb4860,Free,0,Active,
8e0042af,bc1338e3,Free,0,Active,
442a6617,789cd5d1,Pro,856.54,Active,19/01/2025
c6806223,9c1a0b21,Free,0,Active,
95abc3c6,9ced7deb,Pro,83.82,Active,26/01/2025
275bf389,16b03824,Pro,629.37,Active,31/01/2025
1c849107,58535024,Pro,389.1,Active,27/01/2025
2d223f0d,9c3c04c9,Free,0,Active,
27ffee09,6d760d88,Free,0,Active,
69ffbae1,97441de0,Free,0,Active,
cb887aac,ad3377d5,Free,0,Active,
26c18ead,8e014dbe,Free,0,Active,
98b43d2b,cda67b81,Enterprise,4894.66,Active,16/01/2025
8458c96e,5e6f87ae,Free,0,Active,
4bbb2dc6,5666d6dd,Free,0,Active,
25838738,12cfa219,Free,0,Active,
1e34c122,030203ed,Free,0,Active,
f36de36e,b4909100,Free,0,Active,
3073814f,892a1eff,Free,0,Active,
2c4a9e99,1f423013,Free,0,Active,
30ef5d7d,b3969e04,Pro,216.34,Active,18/01/2025
955f48d1,82d58c9b,Free,0,Active,
d7830724,bec227d3,Free,0,Active,
44a4b259,979deca5,Free,0,Active,
b0d9b0a1,3f796f9f,Free,0,Active,
3e2fd855,18dd416f,Free,0,Active,
7a819bd0,f0540575,Free,0,Active,
b15f8343,4f7e1434,Free,0,Active,
a509be9f,9d1cab17,Free,0,Active,
943b2580,5453d994,Free,0,Active,
ba9dc14d,ffa2bd4a,Free,0,Active,
a9cb1ff8,acd55ba8,Free,0,Active,
300ab041,4d99a711,Free,0,Active,
8ba2dc94,b16dc37e,Pro,658.27,Active,04/02/2025
4c6403c4,365b039f,Free,0,Active,
36be6863,5c573f4d,Pro,28.27,Active,03/02/2025
460ff15e,ff203d52,Free,0,Active,
af1ec49a,878de0d6,Free,0,Active,
63dcc536,f3ee29d5,Free,0,Active,
c44125bd,003c2e1c,Free,0,Active,
c802b5ae,95071c42,Pro,328.3,Active,28/01/2025
d4fe8d9c,9166d9b8,Free,0,Active,
be840387,384817d3,Free,0,Active,
4001ac20,d1703b1c,Pro,372.29,Active,23/01/2025
