user_id,org_size,intent_score,intent_tier,health_segment,plan_level,mrr
df6431c9,SMB,725,High Intent,Healthy,Free,0.0
05c21e90,Mid-Market,830,High Intent,Healthy,Free,0.0
1b59b3ff,SMB,920,High Intent,Inactive,Free,0.0
15cf44dd,SMB,750,High Intent,Inactive,Free,0.0
6dfaca99,Mid-Market,700,High Intent,Healthy,Free,0.0
900f5133,Mid-Market,560,High Intent,Inactive,Free,0.0
449e9419,SMB,730,High Intent,Inactive,Free,0.0
a216b51b,SMB,535,High Intent,Healthy,Free,0.0
2d711ef0,SMB,480,High Intent,Healthy,Free,0.0
c65d8775,Mid-Market,585,High Intent,Healthy,Free,0.0
141f44d4,SMB,525,High Intent,Healthy,Free,0.0
7f820a65,SMB,735,High Intent,Inactive,Free,0.0
4731fbf3,SMB,1020,High Intent,Inactive,Free,0.0
0ae7f213,SMB,675,High Intent,Inactive,Free,0.0
327d30da,SMB,750,High Intent,Inactive,Free,0.0
d9cfa8a6,SMB,465,High Intent,Inactive,Free,0.0
c862d3da,SMB,555,High Intent,Inactive,Free,0.0
390ed57f,Mid-Market,565,High Intent,Healthy,Free,0.0
ac2758a7,Mid-Market,860,High Intent,Inactive,Free,0.0
2166def0,SMB,720,High Intent,Inactive,Free,0.0
75db307d,Enterprise,705,High Intent,Healthy,Free,0.0
cfae948c,SMB,410,High Intent,Healthy,Free,0.0
c0852dfd,SMB,780,High Intent,Healthy,Free,0.0
16cbc6d5,Mid-Market,705,High Intent,Inactive,Free,0.0
80c5bbb7,SMB,990,High Intent,Inactive,Free,0.0
8f13a05b,Mid-Market,750,High Intent,Healthy,Free,0.0
a2184bcc,SMB,880,High Intent,Inactive,Free,0.0
0382c82b,SMB,675,High Intent,Healthy,Free,0.0
8298bdc6,SMB,1065,High Intent,Healthy,Free,0.0
5c3d1218,Mid-Market,935,High Intent,Inactive,Free,0.0
e156f53d,SMB,765,High Intent,Inactive,Free,0.0
03b82134,Mid-Market,935,High Intent,Healthy,Free,0.0
c1815c57,SMB,500,High Intent,Healthy,Free,0.0
2cabc160,SMB,615,High Intent,Healthy,Free,0.0
7016759d,Enterprise,115,High Intent,Inactive,Free,0.0
804d9433,Mid-Market,675,High Intent,Healthy,Free,0.0
e671e907,Enterprise,530,High Intent,Healthy,Free,0.0
bbc92505,Enterprise,915,High Intent,Healthy,Free,0.0
b80d5658,Mid-Market,880,High Intent,Healthy,Free,0.0
3db95489,SMB,630,High Intent,Healthy,Free,0.0
06acb071,Mid-Market,605,High Intent,Inactive,Free,0.0
b25d700d,Mid-Market,535,High Intent,Inactive,Free,0.0
b5fc78f8,Mid-Market,885,High Intent,Healthy,Free,0.0
06e32ef3,SMB,430,High Intent,Inactive,Free,0.0
41b77c7a,Mid-Market,885,High Intent,Healthy,Free,0.0
48e8b793,SMB,940,High Intent,Healthy,Free,0.0
9e183efd,SMB,1020,High Intent,Inactive,Free,0.0
